,R2,model_RMSE,base_RMSE,type,PCA,outlier
0,0.28,27.05,31.85,sweater,0,including
0,0.27,27.14,31.85,sweater,7,including
0,0.41,25.37,32.97,sweatshirt,0,including
0,0.41,25.31,32.97,sweatshirt,8,including
0,0.42,10.47,13.79,top,0,including
0,0.43,10.42,13.79,top,7,including
0,0.31,16.7,20.05,dress,0,including
0,0.3,16.77,20.05,dress,5,including
0,0.25,16.19,18.76,tshirt,0,including
0,0.25,16.2,18.76,tshirt,5,including
0,0.33,13.72,16.71,shirt,0,including
0,0.32,13.75,16.71,shirt,8,including
0,0.3,20.91,25.07,sweater,0,excluding4
0,0.31,20.87,25.07,sweater,7,excluding4
0,0.42,23.62,31.11,sweatshirt,0,excluding4
0,0.42,23.61,31.11,sweatshirt,8,excluding4
0,0.39,9.3,11.88,top,0,excluding4
0,0.38,9.36,11.88,top,6,excluding4
0,0.35,12.8,15.89,dress,0,excluding4
0,0.34,12.9,15.89,dress,5,excluding4
0,0.34,12.34,15.22,tshirt,0,excluding4
0,0.34,12.38,15.22,tshirt,6,excluding4
0,0.44,9.95,13.26,shirt,0,excluding4
0,0.43,9.99,13.26,shirt,8,excluding4
0,0.31,18.54,22.27,sweater,0,excluding3
0,0.31,18.52,22.27,sweater,7,excluding3
0,0.47,20.66,28.31,sweatshirt,0,excluding3
0,0.47,20.69,28.31,sweatshirt,8,excluding3
0,0.35,8.99,11.16,top,0,excluding3
0,0.34,9.05,11.16,top,7,excluding3
0,0.33,11.86,14.54,dress,0,excluding3
0,0.33,11.87,14.54,dress,5,excluding3
0,0.34,10.61,13.06,tshirt,0,excluding3
0,0.34,10.59,13.06,tshirt,6,excluding3
0,0.42,9.33,12.28,shirt,0,excluding3
0,0.41,9.45,12.28,shirt,8,excluding3
0,0.46,12.78,17.42,all,0,excluding3
0,0.46,12.85,17.42,all,7,excluding3
