brand,description,price,colour
French Connection,Camisa de vestir blanca de manga larga con cuello pajarita de French Connection,39.99,blanco
ASOS DESIGN,Pack de 2 camisas de oficina blancas elásticas de corte slim de ASOS DESIGN,17.5,blanco
ASOS DESIGN,Camisa Oxford negra entallada con cuello italiano Royal de ASOS DESIGN,34.99,negro
ASOS DESIGN,Camisa de vestir negra entallada con detalle de pechera de satén de ASOS DESIGN,21.0,negro
Topman,Camisa de vestir blanca de corte slim y manga larga con estampado de cuadrícula de Topman,25.0,blanco
ASOS DESIGN,Camisa blanca de corte estándar con pechera bordada de encaje de ASOS DESIGN,39.99,blanco
Twisted Tailor,Camisa azul con estampado de serpiente de malla Caples de Twisted Tailor Plus,72.0,multicolor
Twisted Tailor,Camisa negra de corte slim con diseño de lentejuelas metalizadas Hester de Twisted Tailor,72.0,negro
Twisted Tailor,Camisa blanca con estampado geométrico lineal flocado Butchart de Twisted Tailor,39.0,blanco
ASOS DESIGN,Camisa verde joya entallada de terciopelo de ASOS DESIGN,34.99,verde
ASOS DESIGN,Camisa blanca de corte slim de satén premium de ASOS DESIGN,32.99,blanco
ASOS DESIGN,Camisa blanca de corte estándar con cuello italiano de sarga fácil de planchar premium de ASOS DESIGN,42.99,blanco
Ben Sherman,Camisa blanca de satén de Ben Sherman,38.99,blanco
ASOS DESIGN,Camisa azul marino de satén con solapas estilo años 70 y canesú de encaje de ASOS DESIGN,23.0,azul
ASOS DESIGN,Camisa blanca de corte slim con cuello italiano de tejido fácil de planchar premium de ASOS DESIGN,42.99,blanco
Ben Sherman,Camisa azul marino con estampado de lunares pequeños de Ben Sherman,38.99,azul
ASOS DESIGN,Camisa verde de corte estándar con lazada en el cuello de tafetán de ASOS DESIGN,25.0,verde
New Look Plus,Camisa blanca de manga corta de popelina de New Look Plus,14.49,blanco
ASOS DESIGN,Camisa Oxford blanca entallada de vestir con doble puño de ASOS DESIGN,34.99,blanco
Fred Perry,Camisa Oxford en azul claro de Fred Perry,120.0,azul
Jack & Jones,Camisa blanca estilo esmoquin de Jack & Jones Premium,49.99,blanco
Twisted Tailor,Camisa verde neón con estampado de leopardo Burgess de Twisted Tailor,60.0,verde
ASOS DESIGN,Camisa de oficina lila de corte slim elástico de ASOS DESIGN,22.99,morado
Jack & Jones,Camisa de vestir de corte slim elástico en negro Premium de Jack & Jones,39.99,negro
Gant,Camisa Oxford blanca abotonada de corte estándar con logo Beefy de GANT,100.0,blanco
Topman,Pack de 2 camisas de vestir blancas de corte slim y manga larga de Topman,42.0,blanco
