brand,description,price,colour,colour_simp,colour_simp2
Timberland,Camiseta verde con logo pequeño de Timberland,"19,50 €",mayfly,,
Timberland,Camiseta rosa con estampado de montaña en la espalda de Timberland,"21,00 €",arandano intenso,,
Timberland,Camiseta rosa oscuro con logo pequeño de Timberland,"21,00 €",arandano intenso,,
ASOS DESIGN,Camiseta azul lavado holgada de ASOS DESIGN,"6,50 €",sombra nocturna,,
ASOS DESIGN,Camiseta marrón claro holgada con cuello redondo de ASOS DESIGN,"9,00 €",shitake,,
ASOS DESIGN,Camiseta naranja lavado holgada con estampado de sol en el pecho de ASOS DESIGN,"14,00 €",aragon,,
ASOS DESIGN,Camiseta marrón claro holgada premium de ASOS DESIGN,"11,00 €",stucco,,
ASOS DESIGN,Camiseta color crema ajustada con cuello panadero de canalé de ASOS DESIGN,"15,00 €",tortola,,
Jack & Jones,Camiseta extragrande con acabado efecto denim lavado de Jack & Jones Intelligence,"12,00 €",vaquero desgastado,,
ADPT,Camiseta beis lavado extragrande sin mangas de ADPT,"7,00 €",loza,,
Levi's,Camiseta blanca con logo y estampado posicional en el centro Rave de Levi's,"19,50 €",logo poster concept,,
Selected Homme,Polo beis a rayas de mezcla de algodón de Selected Homme,"24,00 €",incienso,,
Jack & Jones,Polo caqui de piqué de Jack & Jones Premium,"18,00 €",haya,,
ONLY & SONS,Camiseta beis extragrande de felpa texturizada de Only & Sons (parte de un conjunto),"14,50 €",pelicano,,
Jack & Jones,Camiseta beis extragrande con logo de Jack & Jones Premium,"12,50 €",roble petrificado,,
Element,Camiseta azul regatta lavado premium Crail 3.0 de Element,"24,00 €",regatta,,
Billabong,Camiseta naranja Connection de Billabong,"23,00 €",sunset,,
Volcom,Camiseta naranja con estampado en el pecho Hager de Volcom,"26,00 €",azafran,,
ASOS DESIGN,Camiseta marrón holgada con detalle de panel texturizado de ASOS DESIGN,"12,50 €",cacao,,
Timberland,Camiseta azul cielo con logo pequeño de Timberland,"17,50 €",skyway,,
ASOS DESIGN,Camisa marrón claro de punto de ASOS DESIGN,"11,00 €",fungi,,
Superdry,Camiseta blanca sin mangas con logo bordado de Superdry,"15,00 €",optic,,
Berghaus,Camiseta marrón con logo estampado en la parte posterior de Berghaus,"18,00 €",kelp,,
Volcom,Camiseta rosa negruzco Ed Merlin Murray de Volcom,"29,50 €",lor,,
Superdry,Camiseta blanca con logo bordado de estilo vintage de Superdry,"14,00 €",optic,,
Timberland,Camiseta azul cerceta con estampado de montaña en la espalda de Timberland,"19,50 €",columbia,,
Volcom,"Camiseta azul con efecto tie dye y estampado ""Trippin"" de Volcom","30,00 €",btg,,
ASOS DESIGN,Camiseta color piedra holgada sin mangas con cuello de pico pronunciado de ASOS DESIGN,"13,00 €",ceniza,,
Selected Homme,Camiseta blanco hueso extragrande con estampado de estante en la espalda de Selected Homme,"14,00 €",egret,,
Berghaus,Camiseta color arena con estampado de montaña en la espalda Dolomites de Berghaus,"20,50 €",sand dune,,
Selected Homme,Polo color crudo con solapas y detalle plisado de Selected Homme,"21,00 €",egret,,
Barbour,Camiseta azul con estampado en la espalda Coordinates de Barbour,"51,50 €",lago,,
ASOS DESIGN,Camisa azul marino de punto de ASOS DESIGN,"14,00 €",chaqueton marinero,,
ASOS DESIGN,Top beis de tirantes holgado con cuello de pico de canalé de ASOS DESIGN,"13,00 €",grava,,
ASOS DESIGN,Camiseta sin mangas de canalé en color caqui de ASOS DESIGN,"12,00 €",alfalfa,,
Timberland,Camiseta beis de corte slim con logo pequeño Dunstan River de Timberland,"21,00 €",humus,,
Selected Homme,Polo beis de algodón texturizado de Selected Homme,"35,00 €",niebla,,
ASOS DESIGN,Camiseta gris extragrande con estampado de dibujo lineal blanco en la espalda de ASOS DESIGN,"23,50 €",griffin,,
Timberland,Camiseta marrón de corte slim con logo pequeño Dunstan River de Timberland,"21,00 €",caoba claro,,
Selected Homme,Camiseta beis extragrande con estampado artístico en la espalda de Selected Homme,"17,50 €",egret,,
ASOS DESIGN,Polo marrón ajustado con cremallera de ASOS DESIGN,"16,00 €",cacao,,
Levi's,Polo a rayas azul marino de corte slim con logo de murciélago pequeño de Levi's,"31,50 €",academia naval,,
Tommy Hilfiger,Polo azul marino de corte estándar con logo a rayas de Tommy Hilfiger,"70,00 €",desert sky,,
ASOS DESIGN,Camiseta de manga larga extragrande con estampado de naturaleza en la espalda de ASOS DESIGN,"16,00 €",castor,,
Levi's,Camiseta gris carbón con logo en la manga y estampado gráfico artístico de Levi's,"19,50 €",sombreado oscuro,,
ASOS DESIGN,Camiseta azul ajustada con detalle gofrado de ASOS DESIGN,"11,50 €",escritura aerea,,
ASOS DESIGN,Polo de piqué de manga larga burdeos con detalle de ribetes de ASOS DESIGN,"11,50 €",port royal,,
ASOS DESIGN,Camiseta color crema holgada de manga larga con detalle de cinta de ASOS DESIGN,"14,50 €",niebla,,
ASOS DESIGN,Camiseta gris oscuro extragrande de manga larga con estampado de Los Ángeles en la parte trasera de ASOS DESIGN,"17,50 €",tornado,,
ASOS DESIGN,Camiseta azul ajustada con ribetes blancos de ASOS DESIGN,"9,50 €",skyway,,
ASOS DESIGN,Camiseta beis holgada con estampado de escudo y rosas en la espalda de ASOS DESIGN,"14,00 €",piel ciervo,,
ASOS DESIGN,Camiseta beis holgada con ribetes y bolsillo marrones de ASOS DESIGN,"14,00 €",hummus,,
New Look,Polo color burdeos oscuro estilo retro de corte slim de New Look,"20,00 €",dark burgundy,,
Selected Homme,Camiseta beis extragrande con estampado de carrera de Selected Homme,"13,50 €",egret,,
