brand,description,price,colour,colour_simp,colour_simp2
Vero Moda,Vestido corto verde estilo jersey de manga larga de punto de Vero Moda,"42,99 €",dark forest,,
Lola May Curve,Vestido camisero azul petróleo con cinturón de Lola May Plus,"36,99 €",petroleo,,
Wednesday's Girl,Vestido midi morado con lazada delantera y estampado floral difuminado de Wednesday's Girl,"35,00 €",flores difuminadas,,
River Island,Vestido vaquero midi oscuro con escote palabra de honor de River Isalnd,"59,00 €",denim oscuro,,
NA-KD,Vestido largo negro y gris con diseño color block de punto de NA-KD x Moa Mattson,"61,50 €",colour block,,
Vila Curve,Vestido azul con cuello vuelto azul y lazada en la cintura de punto de Vila Curve,"35,00 €",english manor,,
Object,Vestido midi color avena sin mangas de punto de Object,"56,50 €",fossil,,
Y.A.S,Vestido midi rojo cruzado de Y.A.S,"79,99 €",hibisco,,
Y.A.S,Vestido midi rosa cruzado con estampado de cerezas de Y.A.S,"79,99 €",hibisco cereza,,
French Connection,Vestido corto naranja sin mangas de punto de French Connection,"65,99 €",calendula brillante,,
Mango,Vestido lencero midi escalonado de denim oscuro de Mango,"42,50 €",denim,,
Bolongaro Trevor,Vestido corto multicolor con estampado floral y diseño fruncido de malla de Bolongaro Trevor,"32,50 €",floral,,
Selected,Vestido largo amplio con estampado floral y mangas extragrandes de Selected Femme,"78,00 €",agua espumosa,,
Calvin Klein Jeans,Vestido color camel abotonado de tirantes de estilo worker con parche del logo de Calvin Klein Jeans,"66,50 €",shitake,,
Mango,Vestido vaquero azul medio entallado con detalle en el bajo de Mango,"30,00 €",denim,,
Lola May,Vestido corto amarillo verdoso con escote cuadrado y acabado texturizado de Lola May,"13,00 €",chartreuse,,
Cotton:On,Vestido corto rosa estilo palabra de honor de Cotton:On,"13,50 €",magenta,,
French Connection,Vestido corto con estampado floral y mangas abullonadas de algodón de French Connection,"44,00 €",floral base blanca,,
Emory Park,Vestido midi marrón de tirantes con lateral fruncido de Emory Park,"32,00 €",cacao,,
Glamorous Maternity,Vestido multicolor escalonado de manga corta y corte amplio con estampado de lunares y lazada en la espalda de Glamorous Maternity,"30,50 €",lunares arcoiris,,
Selected,Vestido largo de tirantes con estampado abstracto de satén de Selected Femme,"58,50 €",moonlite mauve,,
Glamorous,Vestido multicolor escalonado de manga corta y corte amplio con estampado de lunares y lazada en la espalda de Glamorous,"34,00 €",lunares arcoiris,,
Vero Moda,Vestido midi azul ajustado sin mangas de punto de Vero Moda,"18,50 €",campanula,,
ASOS DESIGN,Vestido veraniego corto asimétrico a cuadros de ASOS DESIGN,"31,00 €",cuadros veraniegos,,
Naked Wardrobe,Vestido corto ajustado con detalle de copas y estampado de camuflaje de Naked Wardrobe,"88,50 €",camo,,
JDY,Vestido midi rojo con abertura lateral de JDY,"14,00 €",agridulce,,
JJXX,Vestido semilargo color arena con cuello de nadadora de canalé de JJXX,"14,00 €",incienso,,
Y.A.S Petite,Vestido largo con estampado floral y cuerpo fruncido de Y.A.S Petite,"55,00 €",floral,,
JDY,Vestido midi rojo cruzado con estampado floral de JDY,"22,50 €",agridulce,,
Only Petite,Vestido midi azul de tirantes con estampado de margaritas y abertura lateral exclusivo de Only Petite,"16,50 €",cielo claro,,
Only Tall,Vestido midi azul de tirantes con estampado de margaritas y abertura lateral exclusivo de Only Tall,"20,00 €",cielo claro,,
Levi's,Vestido corto verde estilo polo con ribetes en contraste de Levi's,"47,00 €",eden,,
JJXX,Vestido camisero corto naranja luminoso con detalle de abertura de JJXX,"24,50 €",puffins bill,,
ASOS Maternity,Vestido midi rosa polvoriento con cuello de nadadora de punto de ASOS DESIGN Maternity,"24,50 €",dusty rose,,
ASOS DESIGN,Vestido largo amarillo verdoso con escote palabra de honor de ASOS DESIGN,"22,50 €",chartreuse,,
ASOS DESIGN,Vestido de tarde estilo babydoll con estampado de cebra abstracto y cintura ceñida de ASOS DESIGN,"26,50 €",cebra abstracto,,
ASOS DESIGN,Vestido midi color terracota sin mangas con cuello redondo y falda anudada tipo pareo de ASOS DESIGN,"24,50 €",terracota,,
ASOS DESIGN,Vestido midi color crema con cuello de pico de croché de ASOS DESIGN,"32,50 €",nata,,
ASOS DESIGN,Vestido corto color canela con mangas murciélago plisadas y aberturas de ASOS DESIGN,"26,50 €",canela,,
ASOS DESIGN,Vestido corto color latte de tirantes retorcidos con escote cuadrado de canalé de ASOS DESIGN,"21,00 €",cafe con leche,,
Free People,Vestido corto azul río amplio con estampado floral de Free People,"114,00 €",combinacion rio,,
French Connection,Vestido corto caqui de corte evasé acanalado de French Connection,"103,99 €",musgo oscuro,,
Miss Selfridge,"Vestido lencero midi en tonos luminosos con estampado floral, bajo fruncido y detalles de volantes de Miss Selfridge Petite","17,00 €",conglomerado floral,,
The Frolic Plus,"Vestido corto multicolor con estampado floral efecto acuarela, mangas abullonadas y pecho fruncido de The Frolic Plus","32,50 €",floral acuarela,,
The Frolic,"Vestido corto multicolor con estampado floral efecto acuarela, mangas abullonadas y pecho fruncido de The Frolic","32,50 €",floral acuarela,,
The Frolic Plus,"Vestido largo multicolor con estampado floral tipo acuarela, cuello ancho y volantes de The Frolic Plus","49,00 €",floral acuarela,,
Free People,Vestido largo multicolor cruzado con estampado floral de Free People,"123,50 €",combinacion neutra,,
ASOS DESIGN,"Vestido largo a cuadros vichy naranjas con margaritas, escote cuadrado y espalda cruzada de ASOS DESIGN","36,00 €",cuadros vichy con margaritas,,
Cotton:On,Vestido camisero corto azul escalonado y suelto a cuadros vichy de Cotton:On Maternity,"29,00 €",cuadros vichy,,
ASOS DESIGN,"Vestido midi de tirantes con detalle calado de encaje, dos aberturas hasta el muslo y estampado floral vintage de ASOS DESIGN","29,00 €",flores vintage,,
ASOS Tall,Vestido midi blanco cruzado y escalonado de manga corta con estampado de lunares de ASOS DESIGN Tall,"30,00 €",base blanca con lunares,,
Native Youth,Vestido semilargo a cuadros vichy de colores de corte trapecio extragrande de Native Youth,"38,50 €",cuadros vichy extragrandes,,
Native Youth Plus,Vestido semilargo a cuadros vichy de colores de corte trapecio extragrande de Native Youth Plus,"38,50 €",cuadros vichy extragrandes,,
The Frolic,Vestido corto de tirantes con detalle de copas y estampado floral pastel de lino de The Frolic,"29,00 €",flores pastel,,
The Frolic,Vestido corto de estilo mesonera con estampado floral vintage y abertura en el cuerpo de The Frolic,"33,50 €",flores vintage,,
Daisy Street Plus,Vestido corto a rayas arcoíris de corte amplio de lino de Daisy Street Plus,"39,50 €",lino arcoiris,,
Daisy Street,Vestido corto multicolor a rayas de corte amplio de lino de Daisy Street,"39,50 €",lino arcoiris,,
French Connection,Vestido ajustado con estampado de cebra de punto Manhatten de French Connection,"62,99 €",cebra,,
Lee Jeans,Vestido camisero vaquero corto con lavado claro de Lee,"87,99 €",lavado claro,,
ASOS Petite,"Vestido corto con escote cuadrado, cinturón y estampado floral retro de sarga de ASOS DESIGN Petite","30,00 €",floral retro,,
ASOS DESIGN,Vestido largo color vainilla de manga larga de croché de ASOS DESIGN,"34,00 €",nata,,
Miss Selfridge,Vestido midi color moca con lavado ácido de Miss Selfridge,"22,50 €",turron,,
The Frolic,"Vestido midi con estampado floral vintage, cuerpo fruncido y tirantes anudados de The Frolic","38,50 €",flores vintage,,
ASOS DESIGN,Vestido midi negro cruzado y escalonado de manga corta con estampado de lunares de ASOS DESIGN,"30,00 €",base negra con lunares,,
ASOS DESIGN,"Vestido midi rojo plisado con escote cuadrado, manga abombada y estampado de margaritas de ASOS DESIGN","36,00 €",margaritas rojas,,
Bolongaro Trevor,Vestido camisero corto color baya de terciopelo de Bolongaro Trevor,"76,99 €",arandano,,
ASOS Curve,Vestido midi blanco de manga corta cruzado con diseño escalonado y estampado de lunares de ASOS DESIGN Curve,"30,00 €",base blanca con lunares,,
