,blue,red,green,white,black,purple,brown,pink,yellow,gray
date,,,,,,,,,,
2018-12-02,19,22,14,31,35,9,21,31,65,44
2018-12-09,20,23,14,29,38,9,22,30,52,46
2018-12-16,19,20,13,28,39,8,20,30,45,41
2018-12-23,21,19,14,30,41,9,22,37,47,43
2018-12-30,20,19,14,27,38,8,21,36,44,43
2019-01-06,19,18,14,30,38,9,21,31,41,44
2019-01-13,18,20,13,29,33,8,19,28,46,44
2019-01-20,17,19,12,27,31,7,19,25,38,38
2019-01-27,18,21,12,28,32,8,19,28,41,41
2019-02-03,17,22,15,32,34,8,20,30,48,37
2019-02-10,18,23,14,30,34,8,20,30,46,46
2019-02-17,19,21,14,31,33,8,18,29,44,36
2019-02-24,18,23,14,30,33,9,17,29,47,38
2019-03-03,16,20,14,31,30,16,16,30,43,36
2019-03-10,18,18,14,31,31,9,17,30,52,40
2019-03-17,19,17,15,33,32,9,18,31,54,40
2019-03-24,18,16,14,32,30,8,17,31,51,36
2019-03-31,20,16,15,33,30,9,17,32,47,37
2019-04-07,18,16,14,32,30,8,16,32,47,41
2019-04-14,17,16,14,29,29,9,15,32,47,35
2019-04-21,18,16,14,31,30,9,16,34,48,36
2019-04-28,20,17,15,33,29,9,15,34,43,33
2019-05-05,23,19,18,37,30,9,17,50,44,42
2019-05-12,22,17,16,35,31,8,16,45,45,39
2019-05-19,21,18,16,34,32,8,15,36,44,35
2019-05-26,21,21,16,40,39,8,15,33,52,34
2019-06-02,21,22,16,42,40,8,15,33,43,34
2019-06-09,20,22,16,41,42,8,15,32,47,36
2019-06-16,23,21,15,44,40,9,16,32,50,34
2019-06-23,22,20,16,41,42,9,15,33,46,33
2019-06-30,22,17,15,42,40,8,14,33,48,33
2019-07-07,21,19,14,39,36,8,15,35,46,34
2019-07-14,21,17,16,36,36,8,15,36,51,37
2019-07-21,19,17,16,36,35,9,15,35,49,34
2019-07-28,23,17,16,38,38,9,16,36,48,36
2019-08-04,23,18,16,39,39,9,15,37,49,36
2019-08-11,22,22,16,39,36,9,15,36,47,36
2019-08-18,23,21,17,38,39,9,16,37,45,37
2019-08-25,22,20,16,39,37,9,17,36,46,38
2019-09-01,20,18,15,37,37,9,16,34,45,38
2019-09-08,20,21,14,34,35,8,14,32,41,37
2019-09-15,19,21,14,34,36,9,17,32,41,50
2019-09-22,21,22,16,35,37,9,18,33,44,39
2019-09-29,20,22,16,35,38,9,18,33,42,44
2019-10-06,19,20,15,34,39,9,18,32,42,39
2019-10-13,19,19,15,34,41,9,18,37,47,41
2019-10-20,19,21,16,34,41,9,19,30,39,41
2019-10-27,18,23,15,36,46,10,19,30,40,43
2019-11-03,20,21,15,34,41,10,21,30,42,42
2019-11-10,20,20,15,32,43,10,20,30,37,40
2019-11-17,20,21,16,35,43,11,21,30,36,41
2019-11-24,22,23,16,37,48,12,23,38,41,44
2019-12-01,21,24,17,38,46,11,22,33,42,42
2019-12-08,22,23,15,38,47,9,20,33,40,44
2019-12-15,22,25,15,32,45,10,20,33,36,39
2019-12-22,22,22,17,34,50,10,21,40,41,40
2019-12-29,23,21,16,34,48,11,20,39,55,42
2020-01-05,22,22,17,35,44,10,21,34,41,44
2020-01-12,22,22,16,35,41,10,21,31,38,35
2020-01-19,21,24,15,34,36,10,19,32,38,40
2020-01-26,22,25,17,35,38,10,18,30,44,38
2020-02-02,21,22,16,34,37,10,18,31,43,38
2020-02-09,21,26,18,34,38,12,19,30,45,36
2020-02-16,21,23,17,36,37,11,18,29,41,38
2020-02-23,21,22,15,34,37,11,17,29,43,39
2020-03-01,21,21,16,35,36,13,17,31,39,37
2020-03-08,15,16,12,27,28,10,13,25,38,28
2020-03-15,14,12,12,22,26,9,10,18,33,22
2020-03-22,16,15,12,27,26,9,13,20,36,24
2020-03-29,17,16,12,31,29,9,15,22,35,27
2020-04-05,19,18,15,34,33,12,18,34,42,35
2020-04-12,19,17,15,34,33,12,20,27,40,37
2020-04-19,19,19,16,36,33,11,17,26,41,33
2020-04-26,19,20,17,34,32,12,19,28,43,36
2020-05-03,21,21,17,35,31,12,18,28,45,37
2020-05-10,21,20,18,35,30,12,19,30,44,38
2020-05-17,21,20,18,38,31,13,18,32,42,43
2020-05-24,22,19,19,39,35,12,21,29,47,40
2020-05-31,21,19,21,38,39,12,20,33,44,43
2020-06-07,22,21,20,41,32,11,20,33,44,41
2020-06-14,21,21,19,39,31,12,18,32,44,41
2020-06-21,21,20,18,39,33,11,18,32,56,39
2020-06-28,23,21,20,40,33,12,19,34,48,42
2020-07-05,23,20,19,40,31,12,18,32,46,40
2020-07-12,21,19,19,39,32,11,17,32,45,37
2020-07-19,22,18,21,40,32,10,17,34,47,40
2020-07-26,21,17,20,41,33,10,17,35,44,40
2020-08-02,24,18,25,40,36,10,17,37,50,46
2020-08-09,23,18,21,39,36,10,18,36,47,44
2020-08-16,24,21,21,42,37,11,19,36,51,43
2020-08-23,22,22,22,42,37,11,19,34,49,48
2020-08-30,23,20,20,40,36,10,20,35,44,46
2020-09-06,23,20,21,42,38,10,18,37,46,48
2020-09-13,23,26,20,43,37,10,17,36,44,46
2020-09-20,24,23,21,42,39,12,18,39,44,45
2020-09-27,22,24,19,39,39,10,19,37,41,46
2020-10-04,23,23,20,40,39,10,21,37,40,50
2020-10-11,22,22,22,41,41,13,22,46,44,52
2020-10-18,21,20,21,38,39,10,22,49,43,48
2020-10-25,21,21,20,39,41,12,21,35,43,47
2020-11-01,20,19,20,38,36,11,20,36,40,46
2020-11-08,21,20,20,41,41,12,21,33,43,48
2020-11-15,22,18,20,40,40,11,22,35,48,53
2020-11-22,23,20,21,42,44,14,23,33,42,55
2020-11-29,22,20,20,43,42,10,23,38,41,53
2020-12-06,23,21,19,40,45,11,24,38,43,52
2020-12-13,21,22,19,37,44,11,24,34,45,50
2020-12-20,21,23,16,36,44,11,23,42,41,48
2020-12-27,23,23,17,39,43,11,22,42,43,51
2021-01-03,22,20,18,40,46,11,24,34,43,50
2021-01-10,21,21,20,40,43,10,22,33,44,48
2021-01-17,23,23,21,41,39,10,20,31,44,47
2021-01-24,21,20,20,42,40,12,20,32,45,44
2021-01-31,21,21,19,40,39,11,20,37,44,48
2021-02-07,20,22,21,41,39,12,19,38,44,47
2021-02-14,21,22,21,38,38,12,20,39,49,45
