date,azul,rojo,verde,blanco,negro
12/2/18,19,22,14,31,35
12/9/18,20,23,14,29,38
12/16/18,19,20,13,28,39
12/23/18,21,19,14,30,41
12/30/18,20,19,14,27,38
1/6/19,19,18,14,30,38
1/13/19,18,20,13,29,33
1/20/19,17,19,12,27,31
1/27/19,18,21,12,28,32
2/3/19,17,22,15,32,34
2/10/19,18,23,14,30,34
2/17/19,19,21,14,31,33
2/24/19,18,23,14,30,33
3/3/19,16,20,14,31,30
3/10/19,18,18,14,31,31
3/17/19,19,17,15,33,32
3/24/19,18,16,14,32,30
3/31/19,20,16,15,33,30
4/7/19,18,16,14,32,30
4/14/19,17,16,14,29,29
4/21/19,18,16,14,31,30
4/28/19,20,17,15,33,29
5/5/19,23,19,18,37,30
5/12/19,22,17,16,35,31
5/19/19,21,18,16,34,32
5/26/19,21,21,16,40,39
6/2/19,21,22,16,42,40
6/9/19,20,22,16,41,42
6/16/19,23,21,15,44,40
6/23/19,22,20,16,41,42
6/30/19,22,17,15,42,40
7/7/19,21,19,14,39,36
7/14/19,21,17,16,36,36
7/21/19,19,17,16,36,35
7/28/19,23,17,16,38,38
8/4/19,23,18,16,39,39
8/11/19,22,22,16,39,36
8/18/19,23,21,17,38,39
8/25/19,22,20,16,39,37
9/1/19,20,18,15,37,37
9/8/19,20,21,14,34,35
9/15/19,19,21,14,34,36
9/22/19,21,22,16,35,37
9/29/19,20,22,16,35,38
10/6/19,19,20,15,34,39
10/13/19,19,19,15,34,41
10/20/19,19,21,16,34,41
10/27/19,18,23,15,36,46
11/3/19,20,21,15,34,41
11/10/19,20,20,15,32,43
11/17/19,20,21,16,35,43
11/24/19,22,23,16,37,48
12/1/19,21,24,17,38,46
12/8/19,22,23,15,38,47
12/15/19,22,25,15,32,45
12/22/19,22,22,17,34,50
12/29/19,23,21,16,34,48
1/5/20,22,22,17,35,44
1/12/20,22,22,16,35,41
1/19/20,21,24,15,34,36
1/26/20,22,25,17,35,38
2/2/20,21,22,16,34,37
2/9/20,21,26,18,34,38
2/16/20,21,23,17,36,37
2/23/20,21,22,15,34,37
3/1/20,21,21,16,35,36
3/8/20,15,16,12,27,28
3/15/20,14,12,12,22,26
3/22/20,16,15,12,27,26
3/29/20,17,16,12,31,29
4/5/20,19,18,15,34,33
4/12/20,19,17,15,34,33
4/19/20,19,19,16,36,33
4/26/20,19,20,17,34,32
5/3/20,21,21,17,35,31
5/10/20,21,20,18,35,30
5/17/20,21,20,18,38,31
5/24/20,22,19,19,39,35
5/31/20,21,19,21,38,39
6/7/20,22,21,20,41,32
6/14/20,21,21,19,39,31
6/21/20,21,20,18,39,33
6/28/20,23,21,20,40,33
7/5/20,23,20,19,40,31
7/12/20,21,19,19,39,32
7/19/20,22,18,21,40,32
7/26/20,21,17,20,41,33
8/2/20,24,18,25,40,36
8/9/20,23,18,21,39,36
8/16/20,24,21,21,42,37
8/23/20,22,22,22,42,37
8/30/20,23,20,20,40,36
9/6/20,23,20,21,42,38
9/13/20,23,26,20,43,37
9/20/20,24,23,21,42,39
9/27/20,22,24,19,39,39
10/4/20,23,23,20,40,39
10/11/20,22,22,22,41,41
10/18/20,21,20,21,38,39
10/25/20,21,21,20,39,41
11/1/20,20,19,20,38,36
11/8/20,21,20,20,41,41
11/15/20,22,18,20,40,40
11/22/20,23,20,21,42,44
11/29/20,22,20,20,43,42
12/6/20,23,21,19,40,45
12/13/20,21,22,19,37,44
12/20/20,21,23,16,36,44
12/27/20,23,23,17,39,43
1/3/21,22,20,18,40,46
1/10/21,21,21,20,40,43
1/17/21,23,23,21,41,39
1/24/21,21,20,20,42,40
1/31/21,21,21,19,40,39
2/7/21,20,22,21,41,39
2/14/21,21,22,21,38,38
2/21/21,23,20,21,45,40
2/28/21,22,19,20,45,39
3/7/21,22,19,19,43,37
3/14/21,21,25,21,42,38
3/21/21,21,20,21,44,38
3/28/21,23,21,21,46,41
4/4/21,21,24,20,43,39
4/11/21,22,23,22,42,40
4/18/21,23,23,21,44,38
4/25/21,22,21,21,43,38
5/2/21,22,21,20,42,38
5/9/21,23,20,21,43,38
5/16/21,24,19,22,42,40
5/23/21,24,23,23,46,40
5/30/21,23,21,23,46,39
6/6/21,22,21,23,45,40
6/13/21,21,19,21,40,38
6/20/21,22,20,22,42,39
6/27/21,23,19,22,42,38
7/4/21,22,19,23,45,37
7/11/21,23,21,24,45,41
7/18/21,23,21,25,44,39
7/25/21,22,21,24,44,39
8/1/21,23,22,25,46,41
8/8/21,25,22,25,47,43
8/15/21,24,23,24,46,42
8/22/21,24,24,26,46,43
8/29/21,23,23,24,45,45
9/5/21,22,23,24,47,45
9/12/21,22,23,24,46,46
9/19/21,21,23,23,44,45
9/26/21,23,27,25,48,50
10/3/21,23,25,26,49,53
10/10/21,25,29,26,51,56
10/17/21,26,29,26,50,56
10/24/21,23,29,23,47,57
10/31/21,25,26,25,44,57
11/7/21,26,28,26,46,59
11/14/21,25,27,25,49,70
11/21/21,26,29,24,46,92
11/28/21,23,29,24,45,59
12/5/21,25,31,26,49,59
12/12/21,24,27,25,48,57
12/19/21,24,28,24,47,57
12/26/21,28,31,27,51,65
1/2/22,30,31,28,53,64
1/9/22,26,30,29,54,59
1/16/22,26,30,26,51,52
1/23/22,27,28,27,54,56
1/30/22,27,28,28,55,53
2/6/22,27,32,28,55,55
2/13/22,28,34,28,55,58
2/20/22,29,30,27,55,53
2/27/22,28,31,28,54,52
3/6/22,27,30,28,51,50
3/13/22,29,31,29,51,54
3/20/22,29,31,30,51,52
3/27/22,30,33,31,55,54
4/3/22,30,32,30,53,51
4/10/22,29,33,29,51,49
4/17/22,31,31,30,53,48
4/24/22,30,30,31,56,50
5/1/22,30,31,32,60,54
5/8/22,30,32,30,57,56
5/15/22,31,32,30,60,56
5/22/22,30,30,29,58,53
5/29/22,29,30,30,60,53
6/5/22,30,31,31,60,56
6/12/22,29,29,30,61,58
6/19/22,30,30,29,58,56
6/26/22,30,29,30,60,56
7/3/22,30,32,30,63,61
7/10/22,32,31,30,63,62
7/17/22,31,32,30,65,60
7/24/22,32,33,30,65,63
7/31/22,34,33,32,66,66
8/7/22,34,31,31,65,61
8/14/22,32,34,31,66,64
8/21/22,33,33,31,66,64
8/28/22,31,32,29,63,64
9/4/22,31,31,29,59,60
9/11/22,30,33,28,62,62
9/18/22,31,32,30,61,64
9/25/22,32,32,30,60,65
10/2/22,30,35,29,61,65
10/9/22,31,33,30,62,71
10/16/22,30,35,30,60,69
10/23/22,29,35,29,58,71
10/30/22,30,36,30,63,76
11/6/22,30,35,29,60,72
11/13/22,30,33,30,61,78
11/20/22,31,39,29,57,100
11/27/22,31,34,28,56,74
12/4/22,32,38,30,61,79
12/11/22,32,37,30,62,79
12/18/22,31,36,30,62,75
12/25/22,40,38,33,66,87
1/1/23,36,33,31,65,82
1/8/23,32,34,29,59,75
1/15/23,33,32,30,57,70
1/22/23,33,34,31,62,65
1/29/23,34,36,34,62,69
2/5/23,32,36,30,59,61
2/12/23,32,39,29,58,66
2/19/23,30,36,30,56,60
2/26/23,31,32,29,57,59
3/5/23,29,34,31,59,58
3/12/23,32,35,31,59,54
3/19/23,32,34,30,60,54
3/26/23,31,31,31,62,52
4/2/23,34,35,30,61,58
4/9/23,32,33,32,58,53
4/16/23,33,33,32,58,53
4/23/23,33,34,32,60,51
4/30/23,34,35,32,63,54
5/7/23,33,34,32,61,52
5/14/23,33,36,32,63,55
5/21/23,31,35,31,61,54
5/28/23,31,33,29,57,50
6/4/23,30,32,30,58,50
6/11/23,32,32,31,61,53
6/18/23,32,32,31,58,51
6/25/23,32,32,30,59,52
7/2/23,34,32,32,63,53
7/9/23,32,33,29,55,52
7/16/23,31,31,30,58,51
7/23/23,29,30,29,57,48
7/30/23,32,32,30,60,52
8/6/23,32,34,29,58,52
8/13/23,33,33,29,57,52
8/20/23,32,30,30,56,51
8/27/23,46,30,29,57,53
9/3/23,30,34,28,53,51
9/10/23,29,28,28,52,48
9/17/23,31,28,30,51,54
9/24/23,30,29,28,54,55
10/1/23,30,31,29,52,54
10/8/23,30,32,30,54,55
10/15/23,28,29,28,49,56
10/22/23,29,30,29,49,55
10/29/23,30,30,25,48,57
11/5/23,30,31,29,48,55
11/12/23,30,32,28,48,57
11/19/23,34,31,30,54,64
11/26/23,31,31,28,53,66
