Categoría: Todas las categorías

Semana,Camisa: (España),Top: (España)
2018-12-09,89,19
2018-12-16,83,18
2018-12-23,94,18
2018-12-30,82,12
2019-01-06,75,12
2019-01-13,72,10
2019-01-20,64,10
2019-01-27,62,12
2019-02-03,68,14
2019-02-10,68,14
2019-02-17,68,14
2019-02-24,79,15
2019-03-03,70,14
2019-03-10,82,17
2019-03-17,66,17
2019-03-24,74,17
2019-03-31,80,19
2019-04-07,84,19
2019-04-14,85,20
2019-04-21,87,19
2019-04-28,82,21
2019-05-05,87,26
2019-05-12,98,27
2019-05-19,84,26
2019-05-26,80,25
2019-06-02,89,26
2019-06-09,79,25
2019-06-16,86,26
2019-06-23,74,28
2019-06-30,80,27
2019-07-07,86,27
2019-07-14,72,27
2019-07-21,77,29
2019-07-28,72,24
2019-08-04,70,23
2019-08-11,73,20
2019-08-18,73,19
2019-08-25,74,17
2019-09-01,72,16
2019-09-08,72,13
2019-09-15,77,14
2019-09-22,75,15
2019-09-29,75,15
2019-10-06,80,13
2019-10-13,71,12
2019-10-20,76,12
2019-10-27,76,12
2019-11-03,73,12
2019-11-10,71,13
2019-11-17,68,14
2019-11-24,82,16
2019-12-01,85,18
2019-12-08,89,20
2019-12-15,88,24
2019-12-22,94,21
2019-12-29,90,16
2020-01-05,79,11
2020-01-12,72,14
2020-01-19,66,11
2020-01-26,65,14
2020-02-02,68,15
2020-02-09,75,17
2020-02-16,72,16
2020-02-23,66,16
2020-03-01,68,17
2020-03-08,51,13
2020-03-15,30,9
2020-03-22,33,11
2020-03-29,34,12
2020-04-05,40,15
2020-04-12,41,16
2020-04-19,43,16
2020-04-26,48,20
2020-05-03,52,23
2020-05-10,56,21
2020-05-17,60,24
2020-05-24,59,26
2020-05-31,58,28
2020-06-07,66,26
2020-06-14,65,26
2020-06-21,72,28
2020-06-28,73,28
2020-07-05,65,29
2020-07-12,65,26
2020-07-19,66,26
2020-07-26,64,26
2020-08-02,63,27
2020-08-09,62,22
2020-08-16,58,20
2020-08-23,59,18
2020-08-30,59,16
2020-09-06,61,16
2020-09-13,59,15
2020-09-20,59,12
2020-09-27,63,12
2020-10-04,63,10
2020-10-11,67,11
2020-10-18,61,10
2020-10-25,63,9
2020-11-01,56,10
2020-11-08,59,9
2020-11-15,61,11
2020-11-22,64,12
2020-11-29,63,11
2020-12-06,62,13
2020-12-13,73,13
2020-12-20,66,14
2020-12-27,73,13
2021-01-03,64,12
2021-01-10,55,11
2021-01-17,54,12
2021-01-24,54,12
2021-01-31,59,14
2021-02-07,61,15
2021-02-14,60,14
2021-02-21,59,16
2021-02-28,60,16
2021-03-07,62,17
2021-03-14,61,18
2021-03-21,63,20
2021-03-28,71,22
2021-04-04,65,21
2021-04-11,70,21
2021-04-18,71,27
2021-04-25,65,24
2021-05-02,71,27
2021-05-09,75,29
2021-05-16,74,31
2021-05-23,66,30
2021-05-30,79,38
2021-06-06,74,37
2021-06-13,76,38
2021-06-20,78,36
2021-06-27,76,36
2021-07-04,73,34
2021-07-11,68,33
2021-07-18,67,35
2021-07-25,66,33
2021-08-01,64,32
2021-08-08,68,34
2021-08-15,67,28
2021-08-22,73,26
2021-08-29,68,21
2021-09-05,72,18
2021-09-12,66,17
2021-09-19,60,17
2021-09-26,59,18
2021-10-03,61,18
2021-10-10,68,20
2021-10-17,67,22
2021-10-24,63,18
2021-10-31,60,14
2021-11-07,61,15
2021-11-14,59,18
2021-11-21,64,20
2021-11-28,55,18
2021-12-05,62,23
2021-12-12,58,23
2021-12-19,56,21
2021-12-26,65,20
2022-01-02,63,18
2022-01-09,53,15
2022-01-16,46,17
2022-01-23,51,18
2022-01-30,52,18
2022-02-06,59,23
2022-02-13,55,25
2022-02-20,57,25
2022-02-27,56,23
2022-03-06,59,25
2022-03-13,61,22
2022-03-20,56,26
2022-03-27,63,28
2022-04-03,64,28
2022-04-10,69,28
2022-04-17,71,31
2022-04-24,65,35
2022-05-01,74,37
2022-05-08,80,40
2022-05-15,78,41
2022-05-22,73,39
2022-05-29,73,41
2022-06-05,68,42
2022-06-12,71,42
2022-06-19,74,41
2022-06-26,73,38
2022-07-03,76,38
2022-07-10,80,38
2022-07-17,82,38
2022-07-24,79,37
2022-07-31,84,37
2022-08-07,79,34
2022-08-14,87,29
2022-08-21,73,27
2022-08-28,71,26
2022-09-04,70,24
2022-09-11,67,21
2022-09-18,73,20
2022-09-25,72,19
2022-10-02,72,18
2022-10-09,69,18
2022-10-16,74,19
2022-10-23,74,22
2022-10-30,70,18
2022-11-06,71,16
2022-11-13,78,18
2022-11-20,74,20
2022-11-27,69,21
2022-12-04,73,25
2022-12-11,78,25
2022-12-18,75,24
2022-12-25,89,27
2023-01-01,75,17
2023-01-08,70,17
2023-01-15,62,17
2023-01-22,68,20
2023-01-29,62,19
2023-02-05,69,20
2023-02-12,64,24
2023-02-19,64,21
2023-02-26,60,18
2023-03-05,69,18
2023-03-12,84,18
2023-03-19,82,21
2023-03-26,82,23
2023-04-02,84,23
2023-04-09,80,24
2023-04-16,95,24
2023-04-23,91,27
2023-04-30,87,28
2023-05-07,90,28
2023-05-14,90,27
2023-05-21,86,27
2023-05-28,88,24
2023-06-04,85,26
2023-06-11,100,27
2023-06-18,97,29
2023-06-25,91,28
2023-07-02,91,28
2023-07-09,91,26
2023-07-16,82,23
2023-07-23,85,24
2023-07-30,93,23
2023-08-06,90,20
2023-08-13,96,17
2023-08-20,83,18
2023-08-27,81,14
2023-09-03,78,14
2023-09-10,77,13
2023-09-17,78,12
2023-09-24,78,13
2023-10-01,79,13
2023-10-08,77,13
2023-10-15,80,11
2023-10-22,85,11
2023-10-29,77,10
2023-11-05,68,11
2023-11-12,77,11
2023-11-19,85,14
2023-11-26,86,13
