date,morado,marron,rosa,amarillo,gris
12/2/18,9,21,31,65,44
12/9/18,9,22,30,52,46
12/16/18,8,20,30,45,41
12/23/18,9,22,37,47,43
12/30/18,8,21,36,44,43
1/6/19,9,21,31,41,44
1/13/19,8,19,28,46,44
1/20/19,7,19,25,38,38
1/27/19,8,19,28,41,41
2/3/19,8,20,30,48,37
2/10/19,8,20,30,46,46
2/17/19,8,18,29,44,36
2/24/19,9,17,29,47,38
3/3/19,16,16,30,43,36
3/10/19,9,17,30,52,40
3/17/19,9,18,31,54,40
3/24/19,8,17,31,51,36
3/31/19,9,17,32,47,37
4/7/19,8,16,32,47,41
4/14/19,9,15,32,47,35
4/21/19,9,16,34,48,36
4/28/19,9,15,34,43,33
5/5/19,9,17,50,44,42
5/12/19,8,16,45,45,39
5/19/19,8,15,36,44,35
5/26/19,8,15,33,52,34
6/2/19,8,15,33,43,34
6/9/19,8,15,32,47,36
6/16/19,9,16,32,50,34
6/23/19,9,15,33,46,33
6/30/19,8,14,33,48,33
7/7/19,8,15,35,46,34
7/14/19,8,15,36,51,37
7/21/19,9,15,35,49,34
7/28/19,9,16,36,48,36
8/4/19,9,15,37,49,36
8/11/19,9,15,36,47,36
8/18/19,9,16,37,45,37
8/25/19,9,17,36,46,38
9/1/19,9,16,34,45,38
9/8/19,8,14,32,41,37
9/15/19,9,17,32,41,50
9/22/19,9,18,33,44,39
9/29/19,9,18,33,42,44
10/6/19,9,18,32,42,39
10/13/19,9,18,37,47,41
10/20/19,9,19,30,39,41
10/27/19,10,19,30,40,43
11/3/19,10,21,30,42,42
11/10/19,10,20,30,37,40
11/17/19,11,21,30,36,41
11/24/19,12,23,38,41,44
12/1/19,11,22,33,42,42
12/8/19,9,20,33,40,44
12/15/19,10,20,33,36,39
12/22/19,10,21,40,41,40
12/29/19,11,20,39,55,42
1/5/20,10,21,34,41,44
1/12/20,10,21,31,38,35
1/19/20,10,19,32,38,40
1/26/20,10,18,30,44,38
2/2/20,10,18,31,43,38
2/9/20,12,19,30,45,36
2/16/20,11,18,29,41,38
2/23/20,11,17,29,43,39
3/1/20,13,17,31,39,37
3/8/20,10,13,25,38,28
3/15/20,9,10,18,33,22
3/22/20,9,13,20,36,24
3/29/20,9,15,22,35,27
4/5/20,12,18,34,42,35
4/12/20,12,20,27,40,37
4/19/20,11,17,26,41,33
4/26/20,12,19,28,43,36
5/3/20,12,18,28,45,37
5/10/20,12,19,30,44,38
5/17/20,13,18,32,42,43
5/24/20,12,21,29,47,40
5/31/20,12,20,33,44,43
6/7/20,11,20,33,44,41
6/14/20,12,18,32,44,41
6/21/20,11,18,32,56,39
6/28/20,12,19,34,48,42
7/5/20,12,18,32,46,40
7/12/20,11,17,32,45,37
7/19/20,10,17,34,47,40
7/26/20,10,17,35,44,40
8/2/20,10,17,37,50,46
8/9/20,10,18,36,47,44
8/16/20,11,19,36,51,43
8/23/20,11,19,34,49,48
8/30/20,10,20,35,44,46
9/6/20,10,18,37,46,48
9/13/20,10,17,36,44,46
9/20/20,12,18,39,44,45
9/27/20,10,19,37,41,46
10/4/20,10,21,37,40,50
10/11/20,13,22,46,44,52
10/18/20,10,22,49,43,48
10/25/20,12,21,35,43,47
11/1/20,11,20,36,40,46
11/8/20,12,21,33,43,48
11/15/20,11,22,35,48,53
11/22/20,14,23,33,42,55
11/29/20,10,23,38,41,53
12/6/20,11,24,38,43,52
12/13/20,11,24,34,45,50
12/20/20,11,23,42,41,48
12/27/20,11,22,42,43,51
1/3/21,11,24,34,43,50
1/10/21,10,22,33,44,48
1/17/21,10,20,31,44,47
1/24/21,12,20,32,45,44
1/31/21,11,20,37,44,48
2/7/21,12,19,38,44,47
2/14/21,12,20,39,49,45
2/21/21,13,20,37,45,57
2/28/21,15,19,38,43,46
3/7/21,20,18,38,44,47
3/14/21,10,19,36,44,43
3/21/21,11,20,35,46,42
3/28/21,16,19,42,50,39
4/4/21,12,19,36,48,43
4/11/21,13,21,36,48,44
4/18/21,11,19,43,51,42
4/25/21,10,18,46,46,41
5/2/21,10,19,36,50,43
5/9/21,10,17,38,44,42
5/16/21,10,17,38,43,42
5/23/21,9,17,37,54,41
5/30/21,10,18,39,46,42
6/6/21,10,17,39,47,37
6/13/21,9,15,35,49,34
6/20/21,10,16,38,49,37
6/27/21,10,16,37,49,35
7/4/21,10,16,40,49,36
7/11/21,10,17,39,50,37
7/18/21,10,17,48,56,38
7/25/21,11,17,42,54,36
8/1/21,9,17,45,53,41
8/8/21,10,20,40,51,40
8/15/21,9,19,43,54,38
8/22/21,10,19,44,48,42
8/29/21,9,18,40,48,43
9/5/21,10,19,43,50,44
9/12/21,9,18,40,47,43
9/19/21,8,19,43,45,46
9/26/21,8,19,49,46,48
10/3/21,7,21,47,49,48
10/10/21,10,23,56,51,48
10/17/21,7,22,57,46,45
10/24/21,7,23,46,45,48
10/31/21,6,24,48,48,47
11/7/21,7,29,50,47,53
11/14/21,7,25,54,47,49
11/21/21,9,26,54,53,51
11/28/21,6,26,52,44,50
12/5/21,8,27,53,47,51
12/12/21,8,25,51,42,48
12/19/21,8,24,53,46,49
12/26/21,8,26,63,53,53
1/2/22,8,30,59,51,59
1/9/22,9,24,55,48,51
1/16/22,8,23,49,49,50
1/23/22,9,25,50,48,55
1/30/22,8,23,56,52,51
2/6/22,10,22,52,51,50
2/13/22,9,26,62,57,53
2/20/22,9,21,58,54,47
2/27/22,10,21,57,56,44
3/6/22,13,20,56,55,48
3/13/22,10,22,50,62,47
3/20/22,9,20,56,61,45
3/27/22,10,21,61,59,48
4/3/22,10,20,63,63,50
4/10/22,11,21,60,66,42
4/17/22,10,20,64,65,44
4/24/22,10,19,64,63,43
5/1/22,9,19,66,64,40
5/8/22,7,21,66,70,42
5/15/22,7,21,59,65,42
5/22/22,8,19,61,63,39
5/29/22,8,21,69,67,36
6/5/22,8,19,60,66,43
6/12/22,7,18,56,64,39
6/19/22,8,19,57,69,41
6/26/22,7,19,58,68,49
7/3/22,7,18,63,66,46
7/10/22,7,19,66,66,44
7/17/22,7,18,59,64,42
7/24/22,7,25,62,69,41
7/31/22,7,19,72,66,43
8/7/22,7,20,72,70,45
8/14/22,7,21,64,65,46
8/21/22,7,21,69,64,45
8/28/22,7,21,70,62,52
9/4/22,8,22,62,54,46
9/11/22,7,21,56,56,47
9/18/22,7,22,62,57,48
9/25/22,8,23,58,58,51
10/2/22,7,24,62,55,46
10/9/22,7,25,59,60,53
10/16/22,6,24,68,58,46
10/23/22,7,24,49,55,47
10/30/22,7,26,60,55,50
11/6/22,7,25,59,54,52
11/13/22,8,27,59,53,59
11/20/22,8,30,62,52,60
11/27/22,7,27,61,53,57
12/4/22,6,29,67,56,58
12/11/22,7,28,65,56,56
12/18/22,7,26,67,52,52
12/25/22,8,31,86,58,60
1/1/23,7,29,78,58,60
1/8/23,6,31,65,56,57
1/15/23,7,27,59,56,57
1/22/23,8,27,66,57,55
1/29/23,8,28,64,60,54
2/5/23,8,27,70,58,50
2/12/23,8,23,72,64,52
2/19/23,8,29,70,58,44
2/26/23,9,23,63,57,48
3/5/23,5,22,63,61,47
3/12/23,1,22,66,64,46
3/19/23,1,22,59,73,48
3/26/23,1,23,64,63,47
4/2/23,1,22,66,69,48
4/9/23,1,23,64,72,46
4/16/23,1,21,70,67,45
