date,dress,tshirt,top,sweater,sweatshirt,shirt
12/9/18,53,39,3,4,1,89
12/16/18,47,34,3,3,1,83
12/23/18,51,36,3,3,2,94
12/30/18,88,29,2,3,1,82
1/6/19,43,29,2,3,2,75
1/13/19,47,23,2,3,1,72
1/20/19,48,23,2,2,1,64
1/27/19,52,26,2,3,3,62
2/3/19,58,28,2,3,3,68
2/10/19,57,30,2,3,3,68
2/17/19,58,31,2,3,8,68
2/24/19,65,35,2,4,11,79
3/3/19,58,37,2,4,9,70
3/10/19,63,36,3,4,9,82
3/17/19,68,38,3,4,9,66
3/24/19,67,39,3,4,9,74
3/31/19,67,35,3,4,9,80
4/7/19,67,35,3,4,9,84
4/14/19,61,35,3,4,7,85
4/21/19,65,36,3,4,1,87
4/28/19,68,44,4,5,1,82
5/5/19,81,46,4,5,1,87
5/12/19,71,46,4,5,1,98
5/19/19,69,47,4,5,1,84
5/26/19,66,46,4,4,1,80
6/2/19,66,58,4,4,1,89
6/9/19,70,48,4,4,1,79
6/16/19,88,48,4,4,1,86
6/23/19,97,46,5,4,1,74
6/30/19,77,49,5,4,1,80
7/7/19,70,50,5,3,1,86
7/14/19,66,49,5,3,1,72
7/21/19,63,46,5,3,1,77
7/28/19,58,47,4,3,2,72
8/4/19,59,48,4,4,1,70
8/11/19,51,45,3,3,1,73
8/18/19,56,41,3,3,1,73
8/25/19,56,42,3,3,1,74
9/1/19,53,40,3,3,1,72
9/8/19,49,35,2,3,1,72
9/15/19,50,38,2,3,1,77
9/22/19,53,36,2,4,2,75
9/29/19,50,35,3,4,2,75
10/6/19,49,35,2,4,2,80
10/13/19,47,33,2,7,2,71
10/20/19,46,34,2,13,2,76
10/27/19,45,32,2,13,2,76
11/3/19,45,32,2,14,2,73
11/10/19,45,34,2,16,2,71
11/17/19,45,27,2,18,2,68
11/24/19,50,33,3,19,2,82
12/1/19,49,34,3,20,2,85
12/8/19,52,37,3,20,2,89
12/15/19,49,36,4,19,2,88
12/22/19,49,34,4,13,2,94
12/29/19,100,35,3,1,2,90
1/5/20,48,32,2,1,2,79
1/12/20,50,31,2,1,2,72
1/19/20,48,28,2,2,1,66
1/26/20,58,31,2,2,1,65
2/2/20,55,35,3,6,1,68
2/9/20,61,35,3,3,1,75
2/16/20,58,33,3,1,1,72
2/23/20,59,33,3,1,1,66
3/1/20,59,35,3,1,1,68
3/8/20,39,25,2,<1,1,51
3/15/20,18,14,2,<1,1,30
3/22/20,20,18,2,1,1,33
3/29/20,21,19,2,<1,1,34
4/5/20,27,28,3,<1,1,40
4/12/20,24,26,3,<1,1,41
4/19/20,23,30,3,<1,1,43
4/26/20,26,36,3,<1,1,48
5/3/20,29,45,4,<1,1,52
5/10/20,30,37,4,<1,1,56
5/17/20,39,48,4,1,1,60
5/24/20,44,47,4,<1,1,59
5/31/20,46,50,5,<1,1,58
6/7/20,45,49,4,<1,1,66
6/14/20,48,45,4,<1,1,65
6/21/20,59,46,5,<1,1,72
6/28/20,61,48,5,<1,1,73
7/5/20,58,45,5,<1,1,65
7/12/20,51,47,4,<1,1,65
7/19/20,49,47,4,<1,1,66
7/26/20,47,50,4,<1,1,64
8/2/20,49,48,4,<1,1,63
